store_name,year,month,product_category,gm
4,Last year,3,"Food, Tobacco and Others",19888.28888888889
4,Last year,3,Newspaper,33687.57777777778
4,Last year,3,Sazka,85481.29629629629
4,Last year,3,PUDO,3927.7777777777774
4,Last year,4,Fee collection,11666.666666666666
4,Last year,4,"Food, Tobacco and Others",16454.414814814812
4,Last year,4,Newspaper,28964.496296296293
4,Last year,4,Sazka,79382.77777777777
4,Last year,4,PUDO,2942.5925925925926
4,Last year,5,Fee collection,20357.407407407405
4,Last year,5,"Food, Tobacco and Others",18558.65185185185
4,Last year,5,Newspaper,28727.94814814815
4,Last year,5,Sazka,64073.148148148146
4,Last year,5,PUDO,1425.9259259259259
4,Last year,6,Fee collection,23427.777777777777
4,Last year,6,"Food, Tobacco and Others",18890.985185185185
4,Last year,6,Newspaper,28884.8
4,Last year,6,Sazka,67380.92592592593
4,Last year,6,PUDO,3085.1851851851848
4,Last year,7,Fee collection,25075.925925925923
4,Last year,7,"Food, Tobacco and Others",22460.28148148148
4,Last year,7,Newspaper,37949.38518518518
4,Last year,7,Sazka,71385.92592592593
4,Last year,7,PUDO,2890.7407407407404
4,Last year,8,Fee collection,23716.666666666664
4,Last year,8,"Food, Tobacco and Others",21777.48888888889
4,Last year,8,Newspaper,37233.777777777774
4,Last year,8,Sazka,68789.25925925926
4,Last year,8,PUDO,2812.9629629629626
4,Last year,9,Fee collection,23625.925925925923
4,Last year,9,"Food, Tobacco and Others",20929.785185185185
4,Last year,9,Newspaper,33522.8962962963
4,Last year,9,Sazka,69901.11111111111
4,Last year,9,PUDO,3357.4074074074074
4,Last year,10,Fee collection,27405.555555555555
4,Last year,10,"Food, Tobacco and Others",19105.925925925923
4,Last year,10,Newspaper,34150.666666666664
4,Last year,10,Sazka,76202.96296296296
4,Last year,10,PUDO,2851.8518518518517
4,Last year,11,Fee collection,26337.037037037036
4,Last year,11,"Food, Tobacco and Others",14401.14074074074
4,Last year,11,Newspaper,31241.777777777777
4,Last year,11,Sazka,79203.88888888889
4,Last year,11,PUDO,4044.4444444444443
4,Last year,12,Fee collection,32133.518518518515
4,Last year,12,"Food, Tobacco and Others",21515.496296296293
4,Last year,12,Newspaper,40894.15555555555
4,Last year,12,Sazka,82088.33333333333
4,Last year,12,PUDO,6611.11111111111
4,This year,1,Fee collection,27933.148148148146
4,This year,1,"Food, Tobacco and Others",16802.555555555555
4,This year,1,Newspaper,30727.511111111107
4,This year,1,Sazka,65432.777777777774
4,This year,1,PUDO,2514.814814814815
4,This year,2,Fee collection,24781.481481481478
4,This year,2,"Food, Tobacco and Others",16841.08148148148
4,This year,2,Newspaper,28091.362962962965
4,This year,2,Sazka,66532.77777777777
4,This year,2,PUDO,2877.7777777777774
4,This year,3,Fee collection,28640.740740740737
4,This year,3,"Food, Tobacco and Others",16118.674074074072
4,This year,3,Newspaper,27505.54074074074
4,This year,3,Sazka,70913.14814814815
4,This year,3,PUDO,2592.5925925925926
4,This year,4,Fee collection,28962.037037037036
4,This year,4,"Food, Tobacco and Others",18544.25185185185
4,This year,4,Newspaper,31183.02962962963
4,This year,4,Sazka,75146.66666666666
4,This year,4,PUDO,2851.8518518518517
4,This year,5,Fee collection,28010.185185185182
4,This year,5,"Food, Tobacco and Others",18513.19259259259
4,This year,5,Newspaper,30845.37037037037
4,This year,5,Sazka,60733.33333333333
4,This year,5,PUDO,2787.037037037037
4,This year,6,Fee collection,28193.51851851852
4,This year,6,"Food, Tobacco and Others",17502.37037037037
4,This year,6,Newspaper,30936.007407407407
4,This year,6,Sazka,59849.62962962963
4,This year,6,PUDO,2462.9629629629626
4,This year,7,Fee collection,28752.777777777777
4,This year,7,"Food, Tobacco and Others",19309.94814814815
4,This year,7,Newspaper,34849.05925925926
4,This year,7,Sazka,70959.62962962962
4,This year,7,PUDO,2411.111111111111
4,This year,8,Fee collection,29807.407407407405
4,This year,8,"Food, Tobacco and Others",20309.422222222223
4,This year,8,Newspaper,35685.74074074074
4,This year,8,Sazka,72065.18518518518
4,This year,8,PUDO,2825.9259259259256
4,This year,9,Fee collection,28314.814814814814
4,This year,9,"Food, Tobacco and Others",16251.607407407406
4,This year,9,Newspaper,29727.65185185185
4,This year,9,Sazka,70015
4,This year,9,PUDO,2722.222222222222
4,This year,10,Fee collection,31812.96296296296
4,This year,10,"Food, Tobacco and Others",14896.08148148148
4,This year,10,Newspaper,33674.61481481481
4,This year,10,Sazka,72861.29629629629
4,This year,10,PUDO,3072.222222222222
4,This year,11,Fee collection,31367.59259259259
4,This year,11,"Food, Tobacco and Others",14899.74074074074
4,This year,11,Newspaper,31258.422222222223
4,This year,11,Sazka,96369.44444444444
4,This year,11,PUDO,3979.6296296296296
4,This year,12,Fee collection,35504.62962962963
4,This year,12,"Food, Tobacco and Others",21496.725925925926
4,This year,12,Newspaper,37856.829629629625
4,This year,12,Sazka,96938.70370370371
4,This year,12,PUDO,5690.74074074074
5,Last year,1,Fee collection,6740.74074074074
5,Last year,1,"Food, Tobacco and Others",24178.177777777775
5,Last year,1,Newspaper,44255.08888888889
5,Last year,1,Sazka,100984.44444444444
5,Last year,1,PUDO,1451.8518518518517
5,Last year,2,Fee collection,6944.444444444444
5,Last year,2,"Food, Tobacco and Others",24251.577777777777
5,Last year,2,Newspaper,42722.19259259259
5,Last year,2,Sazka,105882.59259259258
5,Last year,2,PUDO,1192.5925925925926
5,Last year,3,Fee collection,7088.888888888889
5,Last year,3,"Food, Tobacco and Others",26382.68888888889
5,Last year,3,Newspaper,43127.98518518518
5,Last year,3,Sazka,100906.11111111111
5,Last year,3,PUDO,1309.2592592592591
5,Last year,4,Fee collection,6438.888888888889
5,Last year,4,"Food, Tobacco and Others",27065.82222222222
5,Last year,4,Newspaper,42493.62962962963
5,Last year,4,Sazka,107686.29629629629
5,Last year,4,PUDO,1166.6666666666665
5,Last year,5,Fee collection,5900
5,Last year,5,"Food, Tobacco and Others",26033.237037037034
5,Last year,5,Newspaper,38988.8074074074
5,Last year,5,Sazka,92466.85185185184
5,Last year,5,PUDO,7012.962962962963
5,Last year,6,Fee collection,6705.555555555555
5,Last year,6,"Food, Tobacco and Others",28832.725925925923
5,Last year,6,Newspaper,43091.89629629629
5,Last year,6,Sazka,109535.55555555555
5,Last year,6,PUDO,1309.2592592592591
5,Last year,7,Fee collection,6470.3703703703695
5,Last year,7,"Food, Tobacco and Others",26242.562962962962
5,Last year,7,Newspaper,46258.64444444444
5,Last year,7,Sazka,107806.85185185184
5,Last year,7,PUDO,1153.7037037037037
5,Last year,8,Fee collection,6031.481481481481
5,Last year,8,"Food, Tobacco and Others",32553.525925925926
5,Last year,8,Newspaper,45016.27407407407
5,Last year,8,Sazka,106235.74074074073
5,Last year,8,PUDO,1387.037037037037
5,Last year,9,Fee collection,5153.7037037037035
5,Last year,9,"Food, Tobacco and Others",35654.26666666666
5,Last year,9,Newspaper,46018.93333333333
5,Last year,9,Sazka,111359.8148148148
5,Last year,9,PUDO,1192.5925925925926
5,Last year,10,Fee collection,5718.518518518518
5,Last year,10,"Food, Tobacco and Others",34614.9037037037
5,Last year,10,Newspaper,49370.42962962963
5,Last year,10,Sazka,113015.92592592591
5,Last year,10,PUDO,1555.5555555555554
5,Last year,11,Fee collection,5896.296296296296
5,Last year,11,"Food, Tobacco and Others",34377.874074074076
5,Last year,11,Newspaper,47352.19999999999
5,Last year,11,Sazka,120520.18518518518
5,Last year,11,PUDO,1672.2222222222222
5,Last year,12,Fee collection,6949.62962962963
5,Last year,12,"Food, Tobacco and Others",36180.41481481481
5,Last year,12,Newspaper,58269.34814814814
5,Last year,12,Sazka,118242.22222222222
5,Last year,12,PUDO,2929.6296296296296
5,This year,1,Fee collection,5872.592592592592
5,This year,1,"Food, Tobacco and Others",24446.718518518515
5,This year,1,Newspaper,47430.8074074074
5,This year,1,Sazka,95238.7037037037
5,This year,1,PUDO,1607.4074074074074
5,This year,2,Fee collection,5738.888888888889
5,This year,2,"Food, Tobacco and Others",26300.148148148146
5,This year,2,Newspaper,44538.2
5,This year,2,Sazka,100117.96296296296
5,This year,2,PUDO,1348.148148148148
5,This year,3,Fee collection,5761.11111111111
5,This year,3,"Food, Tobacco and Others",25961.37037037037
5,This year,3,Newspaper,46472.585185185184
5,This year,3,Sazka,112116.29629629629
5,This year,3,PUDO,1218.5185185185185
5,This year,4,Fee collection,5775.925925925925
5,This year,4,"Food, Tobacco and Others",24092.955555555553
5,This year,4,Newspaper,45046.451851851845
5,This year,4,Sazka,107410
5,This year,4,PUDO,1283.3333333333333
5,This year,5,Fee collection,5796.296296296296
5,This year,5,"Food, Tobacco and Others",24336.874074074072
5,This year,5,Newspaper,44989.777777777774
5,This year,5,Sazka,108165.37037037036
5,This year,5,PUDO,1309.2592592592591
5,This year,6,Fee collection,5559.259259259259
5,This year,6,"Food, Tobacco and Others",24894.68148148148
5,This year,6,Newspaper,45959.614814814806
5,This year,6,Sazka,102499.44444444444
5,This year,6,PUDO,1192.5925925925926
5,This year,7,Fee collection,6312.962962962963
5,This year,7,"Food, Tobacco and Others",27678.066666666666
5,This year,7,Newspaper,47105.177777777775
5,This year,7,Sazka,114516.48148148147
5,This year,7,PUDO,1400
5,This year,8,Fee collection,6424.074074074074
5,This year,8,"Food, Tobacco and Others",27026.02962962963
5,This year,8,Newspaper,45229.177777777775
5,This year,8,Sazka,111854.99999999999
5,This year,8,PUDO,1114.8148148148148
5,This year,9,Fee collection,6392.592592592592
5,This year,9,"Food, Tobacco and Others",26243.370370370372
5,This year,9,Newspaper,47312.74074074074
5,This year,9,Sazka,116819.8148148148
5,This year,9,PUDO,1568.5185185185185
5,This year,10,Fee collection,6712.962962962963
5,This year,10,"Food, Tobacco and Others",27128.333333333332
5,This year,10,Newspaper,46844.93333333333
5,This year,10,Sazka,112027.59259259258
5,This year,10,PUDO,1387.037037037037
5,This year,11,Fee collection,7056.481481481481
5,This year,11,"Food, Tobacco and Others",31231.17777777777
5,This year,11,Newspaper,49585.45925925925
5,This year,11,Sazka,115928.88888888888
5,This year,11,PUDO,2087.037037037037
5,This year,12,Fee collection,9053.703703703703
5,This year,12,"Food, Tobacco and Others",34987.68148148148
5,This year,12,Newspaper,54800.096296296295
5,This year,12,Sazka,119252.03703703702
5,This year,12,PUDO,2890.7407407407404
6,Last year,1,Fee collection,2012.9629629629628
6,Last year,1,"Food, Tobacco and Others",17057.2
6,Last year,1,Newspaper,42885.62962962963
6,Last year,1,Sazka,72047.22222222222
6,Last year,1,PUDO,907.4074074074074
6,Last year,2,Fee collection,2418.5185185185182
6,Last year,2,"Food, Tobacco and Others",15107.577777777777
6,Last year,2,Newspaper,46099.51111111111
6,Last year,2,Sazka,68861.85185185185
6,Last year,2,PUDO,868.5185185185185
6,Last year,3,Fee collection,2087.037037037037
6,Last year,3,"Food, Tobacco and Others",20690.71851851852
6,Last year,3,Newspaper,48662.288888888885
6,Last year,3,Sazka,75932.96296296296
6,Last year,3,PUDO,1075.9259259259259
6,Last year,4,Fee collection,2055.555555555555
6,Last year,4,"Food, Tobacco and Others",22064.96296296296
6,Last year,4,Newspaper,46456.04444444444
6,Last year,4,Sazka,77025.18518518518
6,Last year,4,PUDO,1062.9629629629628
6,Last year,5,Fee collection,4024.074074074074
6,Last year,5,"Food, Tobacco and Others",20417.16296296296
6,Last year,5,Newspaper,38132.21481481481
6,Last year,5,Sazka,69420.37037037036
6,Last year,5,PUDO,1516.6666666666663
6,Last year,6,Fee collection,5948.148148148147
6,Last year,6,"Food, Tobacco and Others",23539.39259259259
6,Last year,6,Newspaper,40983.7037037037
6,Last year,6,Sazka,70477.77777777777
6,Last year,6,PUDO,985.1851851851851
6,Last year,7,Fee collection,6929.62962962963
6,Last year,7,"Food, Tobacco and Others",25501.09629629629
6,Last year,7,Newspaper,43417.57777777777
6,Last year,7,Sazka,75654.62962962962
6,Last year,7,PUDO,946.2962962962962
6,Last year,8,Fee collection,5744.444444444444
6,Last year,8,"Food, Tobacco and Others",21345.755555555555
6,Last year,8,Newspaper,40599.11851851852
6,Last year,8,Sazka,72778.33333333333
6,Last year,8,PUDO,907.4074074074074
